# z, h, chi
3.703703703703703720e+00 5.721671308727524163e+00 4.830384267290321986e+03
3.713713713713713727e+00 5.739567980852158691e+00 4.835620924083365935e+03
3.723723723723723733e+00 5.757484910037415915e+00 4.840841268538542863e+03
3.733733733733733740e+00 5.775422068856699731e+00 4.846045383697767647e+03
3.743743743743743746e+00 5.793379430012871367e+00 4.851233352025798922e+03
3.753753753753753752e+00 5.811356966337193342e+00 4.856405255415220381e+03
3.763763763763763759e+00 5.829354650788300951e+00 4.861561175191392067e+03
3.773773773773773765e+00 5.847372456451177314e+00 4.866701192117337087e+03
3.783783783783783772e+00 5.865410356536124858e+00 4.871825386398587398e+03
3.793793793793793778e+00 5.883468324377783887e+00 4.876933837687975938e+03
3.803803803803803785e+00 5.901546333434120939e+00 4.882026625090382367e+03
3.813813813813813791e+00 5.919644357285452685e+00 4.887103827167431518e+03
3.823823823823823798e+00 5.937762369633482251e+00 4.892165521942143641e+03
3.833833833833833804e+00 5.955900344300328442e+00 4.897211786903538268e+03
3.843843843843843811e+00 5.974058255227573611e+00 4.902242699011190780e+03
3.853853853853853817e+00 5.992236076475338180e+00 4.907258334699746229e+03
3.863863863863863823e+00 6.010433782221330290e+00 4.912258769883382229e+03
